Code;English Desc
WORLD;World
OECDAM;OECD Americas
OECDAO;OECD Asia Oceania
OECDEUR;OECD Europe
AFRICA;Africa
LATAMER;Non-OECD Americas
MIDEAST;Middle East
EURASIA;Non-OECD Europe and Eurasia
ASIA;Non-OECD Asia (excluding China)
CHINAREG;"China (P.R. of China and Hong Kong, China)"
WORLDMAR;World marine bunkers
WORLDAV;World aviation bunkers
ALBANIA;Albania
ALGERIA;Algeria
ANGOLA;Angola
ARGENTINA;Argentina
ARMENIA;Armenia
AUSTRALI;Australia
AUSTRIA;Austria
AZERBAIJAN;Azerbaijan
BAHRAIN;Bahrain
BANGLADESH;Bangladesh
BELARUS;Belarus
BELGIUM;Belgium
BENIN;Benin
BOLIVIA;Plurinational State of Bolivia
BOSNIAHERZ;Bosnia and Herzegovina
BOTSWANA;Botswana
BRAZIL;Brazil
BRUNEI;Brunei Darussalam
BULGARIA;Bulgaria
CAMBODIA;Cambodia
CAMEROON;Cameroon
CANADA;Canada
CHILE;Chile
CHINA;People's Republic of China
COLOMBIA;Colombia
CONGO;Republic of the Congo
COSTARICA;Costa Rica
COTEIVOIRE;Cote d'Ivoire
CROATIA;Croatia
CUBA;Cuba
CURACAO;Curacao/Netherlands Antilles
CYPRUS;Cyprus
CZECH;Czech Republic
KOREADPR;Democratic People's Republic of Korea
CONGOREP;Democratic Republic of the Congo
DENMARK;Denmark
DOMINICANR;Dominican Republic
ECUADOR;Ecuador
EGYPT;Egypt
ELSALVADOR;El Salvador
EQGUINEA;Equatorial Guinea
ERITREA;Eritrea
ESTONIA;Estonia
ETHIOPIA;Ethiopia
FINLAND;Finland
FRANCE;France
GABON;Gabon
GEORGIA;Georgia
GERMANY;Germany
GHANA;Ghana
GIBRALTAR;Gibraltar
GREECE;Greece
GUATEMALA;Guatemala
GUYANA;Guyana
HAITI;Haiti
HONDURAS;Honduras
HONGKONG;Hong Kong (China)
HUNGARY;Hungary
ICELAND;Iceland
INDIA;India
INDONESIA;Indonesia
IRAN;Islamic Republic of Iran
IRAQ;Iraq
IRELAND;Ireland
ISRAEL;Israel
ITALY;Italy
JAMAICA;Jamaica
JAPAN;Japan
JORDAN;Jordan
KAZAKHSTAN;Kazakhstan
KENYA;Kenya
KOREA;Korea
KOSOVO;Kosovo
KUWAIT;Kuwait
KYRGYZSTAN;Kyrgyzstan
LAO;Lao People's Democratic Republic
LATVIA;Latvia
LEBANON;Lebanon
LIBYA;Libya
LITHUANIA;Lithuania
LUXEMBOU;Luxembourg
MALAYSIA;Malaysia
MALTA;Malta
MAURITIUS;Mauritius
MEXICO;Mexico
MOLDOVA;Republic of Moldova
MONGOLIA;Mongolia
MONTENEGRO;Montenegro
MOROCCO;Morocco
MOZAMBIQUE;Mozambique
MYANMAR;Myanmar
NAMIBIA;Namibia
NEPAL;Nepal
NETHLAND;Netherlands
NZ;New Zealand
NICARAGUA;Nicaragua
NIGER;Niger
NIGERIA;Nigeria
NORTHMACED;Republic of North Macedonia
NORWAY;Norway
OMAN;Oman
PAKISTAN;Pakistan
PANAMA;Panama
PARAGUAY;Paraguay
PERU;Peru
PHILIPPINE;Philippines
POLAND;Poland
PORTUGAL;Portugal
QATAR;Qatar
ROMANIA;Romania
RUSSIA;Russian Federation
SAUDIARABI;Saudi Arabia
SENEGAL;Senegal
SERBIA;Serbia
SINGAPORE;Singapore
SLOVAKIA;Slovak Republic
SLOVENIA;Slovenia
SOUTHAFRIC;South Africa
SSUDAN;South Sudan
SPAIN;Spain
SRILANKA;Sri Lanka
SUDAN;Sudan
SURINAME;Suriname
SWEDEN;Sweden
SWITLAND;Switzerland
SYRIA;Syrian Arab Republic
TAIPEI;Chinese Taipei
TAJIKISTAN;Tajikistan
TANZANIA;United Republic of Tanzania
THAILAND;Thailand
TOGO;Togo
TRINIDAD;Trinidad and Tobago
TUNISIA;Tunisia
TURKEY;Turkey
TURKMENIST;Turkmenistan
UKRAINE;Ukraine
UAE;United Arab Emirates
UK;United Kingdom
USA;United States
URUGUAY;Uruguay
UZBEKISTAN;Uzbekistan
VENEZUELA;Bolivarian Republic of Venezuela
VIETNAM;Viet Nam
YEMEN;Yemen
ZAMBIA;Zambia
ZIMBABWE;Zimbabwe
FSUND;Former Soviet Union (if no detail)
YUGOND;Former Yugoslavia (if no detail)
OTHERAFRIC;Other Africa
OTHERLATIN;Other non-OECD Americas
OTHERASIA;Other non-OECD Asia
MBURKINAFA;Memo: Burkina Faso
MCHAD;Memo: Chad
MGREENLAND;Memo: Greenland
MMADAGASCA;Memo: Madagascar
MMALI;Memo: Mali
MMAURITANI;Memo: Mauritania
MPALESTINE;Memo: Palestinian Authority
MRWANDA;Memo: Rwanda
MUGANDA;Memo: Uganda
UNAFRICA;Memo: Africa (UN)
UNAMERICAS;Memo: Americas (UN)
UNASIATOT;Memo: Asia (UN)
UNEUROPE;Memo: Europe (UN)
UNOCEANIA;Memo: Oceania (UN)
OECDTOT;Memo: OECD Total
NOECDTOT;Memo: Non-OECD Total
IEATOT;Memo: IEA Total
IEAFAMILY;Memo: IEA and Accession/Association countries
EU28;Memo: European Union-28
EU27_2020;Memo: European Union-27
MFSU15;Memo: FSU 15
MYUGO;Memo: Former Yugoslavia
OPEC;Memo: OPEC
MASEAN;Memo: ASEAN
MG7;Memo: G7
MG8;Memo: G8
MG20;Memo: G20
