gas_gdt|gas|gdt||||||||||||||||||||
atp|atp|||||||||||||||||||||
wtp|wtp||||||||||||||||||||
otp|otp|whs|||||||||||||||||||||
cns|cns|||||||||||||||||||||
ppp|ppp||||||||||||||||||||
ome|ome|fmp|ele|eeq|||||||||||||||||
i_s|i_s||||||||||||||||||||
nmm|nmm||||||||||||||||||||
nfm|nfm||||||||||||||||||||
twl|tex|wap|lea||||||||||||||||||
omn|oxt||||||||||||||||||||
lum|lum||||||||||||||||||||
crp|chm|bph|
teq|mvh|otn
other_indus|omf|rpp
agr|frs|fsh|pdr|wht|gro|v_f|osd|c_b|pfb|ocr|ctl|oap|rmk|wol
fpr|b_t|cmt|omt|vol|mil|pcr|sgr|ofd
ser|wtr|trd|afs|cmn|ofi|ins|obs|rsa|ros|osg|edu|hht|dwe|||||||||||||
