USA|Gulf of Mexico|United States|
CAN|Alberta|Canada Artic Cameron Hills|Canada Artic Norman Wells|Canada Artic Kotaneelee|Canada Artic Nahanni South|
EUR|Europe - Remaining Provinces|Germany, Netherlands, North Sea|Mediterranean Sea - Europe|Italy, Adriatic Sea|Romania|Northern North Sea Brent, OFFSHORE|OFFSHORE Norway|North Sea UK Sector, OFFSHORE|OFFSHORE Austria|
JAN|Northern Autralia, Timor Sea|
CIS|Russia|Ukraine|Kazakhstan Amangeld Area|Kazakhstan Aktyubinsknelt Contract Area|Kazakhstan Kashagan Contract Area, OFFSHORE|Kazakhstan South Kumkol Area|Kazakhstan ADE Contract Area|Kazakhstan Karazhanbas, ON/OFFSHORE|Turkmenistant|Former Soviet Union - Remaining Provinces|Kazakhstan Armen, ON/OFFSHORE|Kazakhstan Buzachi North, ON/OFFSHORE|Kazakhstan Alibec South|Caspian Sea|Barents Sea|
CHN|South China Sea|China Xijiang Area, OFFSHORE|China Block 15/34 (Panyu 4-2 and Panyu 5-1), OFFSHORE|China Block 11/05 (Peng Lai 19-3), OFFSHORE|China Caofedian Blocks 04/35 and 05/36, OFFSHORE|China Chengdaoxi, ON/OFFSHORE|China Block 16/06 (Lufeng 13-1), OFFSHORE|China Yacheng 13-1, OFFSHORE|China Chuanzhong|China|
IND|India, Bangladesh, Bay of Bengal|India|
BRA|Brazil Chinook, OFFSHORE|Brazil Koch|Brazil Lagosta, OFFSHORE|Brazil Sardinha, OFFSHORE|Brazil PetroReconcavo|Brazil Tartaruga, ON/OFFSHORE|Brazil Frade, OFFSHORE|Brazil Bijupira-Salema, OFFSHORE|Brazil Polvo, OFFSHORE|
MDE|Iraq, Kuwait|Iraq, Iran|Iraq, Saudi Arabia|Saudi Arabia, U.A.E|Saudi Arabia|Saudi Arabia, Qatar|Red Sea|Middle East and North Africa – remaining provinces|
AFR|Libya|Egypt West Bakr|Chad Sedigui Oil Project|Nigeria|OFFSHORE Angola, Congo, Gabon, Eq. Guinea, Cameroon|Egypt El Mansoura|Egypt Badr El Din|Egypt Oarun|Algeria Gassi Touil Integrated Gas Project|Sub-Saharan Africa and Antartica – Remaining provinces|Chad Doba Oil project|Egypt Obaiyed|Mauritania PSC B Tiof, OFFSHORE|Mauritania PSC B Chinguetti and Tevet, OFFSHORE|Egypt El Diyur|Algeria Hamra|Tunisia Ashtat, OFFSHORE|
RAS|Gulf of Thailand|Malaysia Baram Delta, OFFSHORE|Indonesia Makassar, OFFSHORE|Pakistan|Asia Pacific - Remaining Provinces|Indonesia Far East Offshore Shelf, OFFSHORE|Myanmar|South Asia - Remaining Provinces|
RAL|Argentina Ramos|Argentina Tierra del Fuego, ON/OFFSHORE|Guyana, Suriname, French Guiana|Caribbean Sea|Argentina Santa Cruz II|Argentina Faro Virenes, ON/OFFSHORE|Colombia|Venezuela|Central and South America Remaining Provinces|Argentina Area Magallanes, OFFSHORE|OFFSHORE Greenland|North America - Remaining Provinces|










