Coal|coa|||||||||||||||||||||
Oil|oil|||||||||||||||||||||
Gas|gas|gdt||||||||||||||||||||
Etransf|p_c|||||||||||||||||||||
Elec|ely|||||||||||||||||||||
BTP|cns|||||||||||||||||||||
Inddemat|wtr|trd|cmn|ofi|isr|obs|ros|osg|dwe|||||||||||||
Airtransp|atp|||||||||||||||||||||
Watertransp|wtp|||||||||||||||||||||
Othertransp|otp|||||||||||||||||||||
Agriculture|pdr|wht|gro|v_f|osd|c_b|pfb|ocr|ctl|oap|rmk|wol|frs|fsh|cmt|omt|vol|mil|pcr|sgr|ofd|b_t
Indmat|omn|tex|wap|lea|lum|ppp|crp|nmm|i_s|nfm|fmp|mvh|otn|ele|ome|omf|||
