//Year;651 WP4_650_redist;669 WP4_650;1151 WP4_1150_redist;159 WP4_1150
2015;0;0;0;0
2016;0;0;0;0
2017;0;0;0;0
2018;0;0;0;0
2019;0;0;0;0
2020;0;0;0;0
2021;28.1625;25.34625;28.395;28.395
2022;37.55;33.795;37.86;37.86
2023;93.875;84.4875;94.65;94.65
2024;122.0375;109.83375;123.045;123.045
2025;157.859382;142.0734438;135.723903;135.723903
2026;236.7358501;213.062265;148.402806;148.402806
2027;315.6123181;284.0510863;177.2553495;177.2553495
2028;394.4887861;355.0399075;207.2418082;207.2418082
2029;473.4717002;426.1245301;248.7349064;248.7349064
2030;568.1021726;511.2919553;298.4483352;298.4483352
2031;612.1740321;550.9566289;321.6011653;321.6011653
2032;656.2458917;590.6213025;344.7539956;344.7539956
2033;700.3177514;630.2859762;367.9068257;367.9068257
2034;744.389611;669.9506499;391.0596559;391.0596559
2035;788.4614706;709.6153235;414.2124861;414.2124861
2036;832.5333301;749.2799971;437.3653162;437.3653162
2037;876.6051897;788.9446707;460.5181464;460.5181464
2038;920.6770492;828.6093442;483.6709766;483.6709766
2039;964.7489089;868.274018;506.8238068;506.8238068
2040;1008.820769;907.9386919;529.9766371;529.9766371
2041;1052.892628;947.6033653;553.1294671;553.1294671
2042;1096.964488;987.2680395;576.2822976;576.2822976
2043;1141.036347;1026.932712;599.4351274;599.4351274
2044;1185.108207;1066.597386;622.5879574;622.5879574
2045;1229.180067;1106.26206;645.7407879;645.7407879
2046;1273.251926;1145.926733;668.8936178;668.8936178
2047;1317.323786;1185.591407;692.0464482;692.0464482
2048;1361.395645;1225.25608;715.1992782;715.1992782
2049;1405.467506;1264.920755;738.3521086;738.3521086
2050;1449.539364;1304.585428;761.5049385;761.5049385
2051;1493.611224;1344.250102;784.657769;784.657769
2052;1537.683083;1383.914775;807.8105991;807.8105991
2053;1581.754944;1423.579449;830.9634296;830.9634296
2054;1625.826803;1463.244122;854.1162594;854.1162594
2055;1669.898663;1502.908796;877.2690896;877.2690896
2056;1713.970522;1542.57347;900.4219197;900.4219197
2057;1758.042382;1582.238143;923.5747499;923.5747499
2058;1802.114241;1621.902817;946.7275799;946.7275799
2059;1846.186102;1661.567491;969.8804101;969.8804101
2060;1890.25796;1701.232164;993.0332402;993.0332402
2061;1934.329821;1740.896838;1016.186071;1016.186071
2062;1978.40168;1780.561512;1039.338901;1039.338901
2063;2022.47354;1820.226186;1062.491731;1062.491731
2064;2008.088948;1807.280053;1059.224054;1059.224054
2065;1993.704357;1794.333921;1055.956377;1055.956377
2066;1979.319765;1781.387789;1052.6887;1052.6887
2067;1964.935174;1768.441657;1049.421023;1049.421023
2068;1950.550583;1755.495524;1046.153345;1046.153345
2069;1936.165991;1742.549391;1042.885668;1042.885668
2070;1921.7814;1729.60326;1039.617991;1039.617991
2071;1907.396809;1716.657128;1036.350314;1036.350314
2072;1893.012218;1703.710996;1033.082637;1033.082637
2073;1878.627626;1690.764863;1029.81496;1029.81496
2074;1864.243035;1677.818731;1026.547283;1026.547283
2075;1849.858444;1664.872599;1023.279605;1023.279605
2076;1835.473852;1651.926467;1020.011928;1020.011928
2077;1821.089261;1638.980334;1016.744251;1016.744251
2078;1806.70467;1626.034203;1013.476574;1013.476574
2079;1792.320079;1613.088071;1010.208897;1010.208897
2080;1777.935488;1600.141939;1006.94122;1006.94122
2081;1763.550896;1587.195806;1003.673543;1003.673543
2082;1749.166305;1574.249674;1000.405866;1000.405866
2083;1734.781713;1561.303542;997.1381884;997.1381884
2084;1720.397122;1548.357409;993.8705115;993.8705115
2085;1706.01253;1535.411277;990.602834;990.602834
2086;1691.627939;1522.465145;987.3351571;987.3351571
2087;1677.243348;1509.519013;984.0674801;984.0674801
2088;1662.858757;1496.572881;980.7998027;980.7998027
2089;1648.474165;1483.626748;977.5321258;977.5321258
2090;1634.089574;1470.680616;974.2644483;974.2644483
2091;1619.704982;1457.734484;970.9967714;970.9967714
2092;1605.320391;1444.788351;967.7290945;967.7290945
2093;1590.935799;1431.842219;964.461417;964.461417
2094;1576.551209;1418.896088;961.1937401;961.1937401
2095;1562.166618;1405.949956;957.9260626;957.9260626
2096;1547.782026;1393.003823;954.6583857;954.6583857
2097;1533.397434;1380.057691;951.3907088;951.3907088
2098;1519.012843;1367.111559;948.1230313;948.1230313
2099;1504.628252;1354.165426;944.8553544;944.8553544
2100;1490.243661;1341.219294;941.5876769;941.5876769
2101;1490.243661;1341.219294;938.32;938.32
